NodeID,PaperTitle,Type,Authors,PublicationYear,DOI
10.1609/aaai.v31i1.10952,SSP: Semantic Space Projection for Knowledge Graph Embedding with Text Descriptions,ReferenceOfReference,"['Han Xiao', 'Minlie Huang', 'Lian Meng', 'Xiaoyan Zhu']",2016,10.1609/aaai.v31i1.10952
10.1145/2939672.2939822,Label Noise Reduction in Entity Typing by Heterogeneous Partial-Label Embedding,ReferenceOfReference,"['Xiang Ren', 'Wenqi He', 'Meng Qu', 'Clare R. Voss', 'Heng Ji', 'Jiawei Han']",2016,10.1145/2939672.2939822
10.1609/aaai.v30i1.10179,Deep Neural Networks for Learning Graph Representations,ReferenceOfReference,"['Shaosheng Cao', 'Wei Lu', 'Qiongkai Xu']",2016,10.1609/aaai.v30i1.10179
10.1609/aaai.v30i1.9972,Community-Based Question Answering via Heterogeneous Social Network Learning,ReferenceOfReference,"['Hanyin Fang', 'Fei Wu', 'Zhou Zhao', 'Xinyu Duan', 'Yueting Zhuang', 'Martin Ester']",2016,10.1609/aaai.v30i1.9972
10.1609/aaai.v30i1.10089,Knowledge Graph Completion with Adaptive Sparse Transfer Matrix,ReferenceOfReference,"['Guoliang Ji', 'Kang Liu', 'Shizhu He', 'Jun Zhao']",2016,10.1609/aaai.v30i1.10089
10.1609/aaai.v30i1.10329,Representation Learning of Knowledge Graphs with Entity Descriptions,ReferenceOfReference,"['Ruobing Xie', 'Zhiyuan Liu', 'Jia Jia', 'Huanbo Luan', 'Maosong Sun']",2016,10.1609/aaai.v30i1.10329
10.1109/TIP.2015.2507401,Learning of Multimodal Representations With Random Walks on the Click Graph,ReferenceOfReference,"['Fei Wu', 'Xinyan Lu', 'Jun Song', 'Shuicheng Yan', 'Zhongfei Zhang', 'Y. Rui', 'Yueting Zhuang']",2016,10.1109/TIP.2015.2507401
10.1109/ICCV.2015.486,Learning Image and User Features for Recommendation in Social Networks,ReferenceOfReference,"['Xue Geng', 'Hanwang Zhang', 'Jingwen Bian', 'Tat-Seng Chua']",2015,10.1109/ICCV.2015.486
10.1609/aaai.v30i1.10091,Locally Adaptive Translation for Knowledge Graph Embedding,ReferenceOfReference,"['Yantao Jia', 'Yuanzhuo Wang', 'Hailun Lin', 'Xiaolong Jin', 'Xueqi Cheng']",2015,10.1609/aaai.v30i1.10091
10.1145/2806416.2806512,GraRep: Learning Graph Representations with Global Structural Information,ReferenceOfReference,"['Shaosheng Cao', 'Wei Lu', 'Qiongkai Xu']",2015,10.1145/2806416.2806512
10.1609/aaai.v30i1.10314,Holographic Embeddings of Knowledge Graphs,ReferenceOfReference,"['Maximilian Nickel', 'L. Rosasco', 'T. Poggio']",2015,10.1609/aaai.v30i1.10314
10.18653/v1/P16-1219,TransG : A Generative Model for Knowledge Graph Embedding,ReferenceOfReference,"['Han Xiao', 'Minlie Huang', 'Xiaoyan Zhu']",2015,10.18653/v1/P16-1219
10.18653/v1/D15-1191,Context-Dependent Knowledge Graph Embedding,ReferenceOfReference,"['Yuanfei Luo', 'Quan Wang', 'Bin Wang', 'Li Guo']",2015,10.18653/v1/D15-1191
10.1145/2783258.2783296,Heterogeneous Network Embedding via Deep Architectures,ReferenceOfReference,"['Shiyu Chang', 'Wei Han', 'Jiliang Tang', 'Guo-Jun Qi', 'C. Aggarwal', 'Thomas S. Huang']",2015,10.1145/2783258.2783296
10.1145/2783258.2783417,Deep Graph Kernels,ReferenceOfReference,"['Pinar Yanardag', 'S. Vishwanathan']",2015,10.1145/2783258.2783417
10.1145/2783258.2783341,Learning with Similarity Functions on Graphs using Matchings of Geometric Embeddings,ReferenceOfReference,"['Fredrik D. Johansson', 'Devdatt P. Dubhashi']",2015,10.1145/2783258.2783341
10.1145/2783258.2783307,PTE: Predictive Text Embedding through Large-scale Heterogeneous Text Networks,ReferenceOfReference,"['Jian Tang', 'Meng Qu', 'Qiaozhu Mei']",2015,10.1145/2783258.2783307
